"Mon","Tue","Wed","Thu","Date","Stormy","Mixed","p","q","Rainy","Cold","Wind","Wind2"
1,0,0,0,911202,1,0,-0.4307829,8.994421,1,0,2.995732,8.974412
0,1,0,0,911203,1,0,0,7.707063,0,0,2.995732,8.974412
0,0,1,0,911204,0,1,0.0723207,8.350194,1,1,2.813411,7.91528
0,0,0,1,911205,1,0,0.247139,8.656955,0,1,3.036554,9.220662
0,0,0,0,911206,1,0,0.6643268,7.844241,0,1,3.036554,9.220662
1,0,0,0,911209,0,0,-0.2065143,9.301277,0,0,2.762117,7.629292
0,1,0,0,911210,0,1,-0.1158318,8.920656,0,0,2.762117,7.629292
0,0,1,0,911211,0,0,-0.2598674,9.105979,1,0,2.762117,7.629292
0,0,0,1,911212,0,1,-0.1171254,8.307706,0,0,2.762117,7.629292
0,0,0,0,911213,0,0,-0.3420761,9.20954,0,0,2.590267,6.709484
1,0,0,0,911216,1,0,-0.1255632,8.552561,0,1,3.149883,9.921763
0,1,0,0,911217,1,0,0.027399,8.523175,0,1,3.218876,10.36116
0,0,1,0,911218,1,0,-0.0712275,8.865453,0,1,3.184974,10.14406
0,0,0,1,911219,1,0,0.1230601,9.186355,0,1,3.113515,9.693978
0,0,0,0,911220,1,0,0.2130932,8.699348,0,1,3.149883,9.921763
1,0,0,0,911223,0,1,-0.3172045,9.408863,0,1,2.953173,8.721229
0,1,0,0,911224,0,1,-0.1088388,8.150179,0,1,3.036554,9.220662
0,0,0,1,911226,0,1,0.2231435,6.703188,0,1,2.953173,8.721229
0,0,0,0,911227,0,0,0.2464593,8.798907,0,1,2.862201,8.192194
1,0,0,0,911230,0,0,-0.075431,9.565214,1,1,2.70805,7.333536
0,1,0,0,911231,0,0,0.2055992,8.297792,1,1,2.862201,8.192194
0,0,0,1,920102,0,0,0.2188098,8.320935,0,0,2.813411,7.91528
0,0,0,0,920103,0,0,0.307025,8.884887,0,0,2.456736,6.035551
1,0,0,0,920106,1,0,0.399592,9.336444,0,0,3.314186,10.98383
0,1,0,0,920107,1,0,0.4969802,8.122668,0,1,3.344039,11.1826
0,0,1,0,920108,1,0,0.3968258,8.15191,0,1,3.036554,9.220662
0,0,0,1,920109,0,1,0.2830518,9.51834,0,1,2.813411,7.91528
0,0,0,0,920110,0,1,0.2263384,8.567886,1,0,2.650892,7.027227
1,0,0,0,920113,0,1,-0.0723207,9.386811,0,0,2.908721,8.460658
0,1,0,0,920114,0,1,-0.1545295,8.628735,0,0,2.813411,7.91528
0,0,1,0,920115,1,0,0.2363888,7.727535,1,1,2.995732,8.974412
0,0,0,1,920116,1,0,0.1718503,8.453188,0,1,3.113515,9.693978
0,0,0,0,920117,1,0,0.1541506,7.156956,1,1,3.218876,10.36116
1,0,0,0,920120,1,0,0.0350913,6.363028,0,1,3.075775,9.460391
0,1,0,0,920121,0,1,0.218131,7.313221,1,1,3.075775,9.460391
0,0,1,0,920122,0,0,-0.0624355,8.39163,0,1,2.908721,8.460658
0,0,0,1,920123,0,0,-0.4418328,9.188503,0,0,2.70805,7.333536
0,0,0,0,920124,0,0,-0.7699343,9.318297,1,0,2.862201,8.192194
1,0,0,0,920127,1,0,-0.7391911,8.363809,1,1,3.113515,9.693978
0,1,0,0,920128,0,1,-0.7230001,8.621193,0,1,2.862201,8.192194
0,0,1,0,920129,0,0,-0.5184302,8.144679,0,1,2.813411,7.91528
0,0,0,1,920130,0,0,-0.5533853,8.710784,0,1,2.650892,7.027227
0,0,0,0,920131,0,0,-0.5590724,8.417373,0,0,2.650892,7.027227
1,0,0,0,920203,1,0,-0.4238143,9.017968,0,1,3.251666,10.57333
0,1,0,0,920204,1,0,-0.7731899,7.528332,0,1,3.283414,10.78081
0,0,1,0,920205,1,0,-0.2040953,7.154615,0,1,3.075775,9.460391
0,0,0,1,920206,1,0,0.3841877,8.487764,0,1,3.075775,9.460391
0,0,0,0,920207,0,1,0.3479887,8.979543,0,1,2.953173,8.721229
1,0,0,0,920210,1,0,0.3229889,8.744328,0,1,3.036554,9.220662
0,1,0,0,920211,1,0,0.4345259,7.893572,0,1,2.953173,8.721229
0,0,1,0,920212,1,0,0.2000211,8.5923,0,1,2.908721,8.460658
0,0,0,1,920213,0,1,-0.0071685,9.035987,0,1,2.862201,8.192194
0,0,0,0,920214,0,1,-0.4744579,9.525735,0,1,2.862201,8.192194
0,1,0,0,920218,0,0,-0.7711087,9.773094,0,1,2.862201,8.192194
0,0,1,0,920219,0,1,-1.094774,8.158802,0,0,2.813411,7.91528
0,0,0,1,920220,0,0,-0.8602012,8.677609,0,0,2.70805,7.333536
0,0,0,0,920221,0,1,-0.597837,9.034796,0,0,2.762117,7.629292
1,0,0,0,920224,0,0,-0.567984,8.375629,0,1,2.525729,6.379305
0,1,0,0,920225,0,0,-0.7711087,7.649693,0,1,2.590267,6.709484
0,0,1,0,920226,0,1,-0.2724146,7.853605,0,1,2.862201,8.192194
0,0,0,1,920227,1,0,0.1849223,7.955074,1,1,2.953173,8.721229
0,0,0,0,920228,1,0,0.20676,8.73069,0,0,2.908721,8.460658
1,0,0,0,920302,0,1,0.074108,8.633197,0,0,2.908721,8.460658
0,1,0,0,920303,1,0,-0.0071685,8.796339,0,1,2.908721,8.460658
0,0,1,0,920304,0,1,-0.2548923,8.994048,0,0,2.762117,7.629292
0,0,0,1,920305,0,1,-0.2364898,9.22375,0,0,2.650892,7.027227
0,0,0,0,920306,0,0,-0.4848501,8.568457,0,0,2.590267,6.709484
1,0,0,0,920309,0,1,-0.8119307,9.981374,0,0,2.862201,8.192194
0,1,0,0,920310,0,1,-0.4780358,9.172119,0,0,2.813411,7.91528
0,0,1,0,920311,0,1,-0.2301122,8.116715,0,1,2.762117,7.629292
0,0,0,1,920312,1,0,-0.2887938,9.241354,1,1,3.075775,9.460391
0,0,0,0,920313,1,0,-0.3409266,8.016318,0,1,3.283414,10.78081
1,0,0,0,920316,0,0,-0.4812668,9.646011,0,1,2.862201,8.192194
0,1,0,0,920317,0,0,-0.5817336,9.168476,0,1,2.813411,7.91528
0,0,1,0,920318,0,1,-0.0370413,7.44132,0,1,2.908721,8.460658
0,0,0,1,920319,0,0,0.0746435,8.61432,0,1,2.813411,7.91528
0,0,0,0,920320,1,0,-0.5268259,8.902047,1,1,3.075775,9.460391
1,0,0,0,920323,0,0,-0.1123292,7.857481,0,1,2.590267,6.709484
0,1,0,0,920324,0,1,-0.2376716,8.228177,0,1,2.762117,7.629292
0,0,1,0,920325,0,1,-0.4243931,7.986165,0,1,2.762117,7.629292
0,0,0,1,920326,0,1,-0.4828126,9.395989,0,0,2.862201,8.192194
0,0,0,0,920327,0,1,-0.1923718,7.711997,0,0,2.862201,8.192194
1,0,0,0,920330,1,0,0.1823216,7.705263,0,0,3.401197,11.56814
0,1,0,0,920331,1,0,0.2876821,7.013916,0,0,3.184974,10.14406
0,0,1,0,920401,0,1,-0.1873341,8.492901,1,0,2.953173,8.721229
0,0,0,1,920402,0,0,-0.4404448,9.333443,0,0,2.590267,6.709484
0,0,0,0,920403,0,0,-0.567984,9.578795,1,1,2.862201,8.192194
1,0,0,0,920406,0,0,-0.3873608,8.975504,0,0,2.813411,7.91528
0,1,0,0,920407,0,0,-0.5108256,7.28961,0,0,2.70805,7.333536
0,0,1,0,920408,0,0,-0.6149098,9.415728,0,0,2.70805,7.333536
0,0,0,1,920409,0,0,-0.3876929,8.740336,0,0,2.650892,7.027227
0,0,0,0,920410,0,0,-0.3716677,8.584852,0,0,2.650892,7.027227
1,0,0,0,920413,0,0,-0.3101549,8.657825,0,1,2.862201,8.192194
0,1,0,0,920414,0,0,-0.3502024,7.383989,0,0,2.995732,8.974412
0,0,1,0,920415,0,0,-0.2231435,6.194406,0,0,2.762117,7.629292
0,0,0,1,920416,0,0,-0.3119048,9.187583,0,0,2.525729,6.379305
0,0,0,0,920417,0,0,-0.2258646,8.779557,1,0,2.456736,6.035551
0,1,0,0,920421,0,0,-0.2842691,9.261033,0,0,2.590267,6.709484
0,0,1,0,920422,0,0,-0.0971638,8.294049,0,0,2.525729,6.379305
0,0,0,1,920423,0,0,-0.1419181,8.737132,1,0,2.650892,7.027227
0,0,0,0,920424,0,0,-0.5364382,9.651816,0,0,2.650892,7.027227
1,0,0,0,920427,0,0,-0.4596867,8.552561,0,0,2.650892,7.027227
0,1,0,0,920428,0,0,-0.4866114,8.163371,0,0,2.590267,6.709484
0,0,1,0,920429,0,0,-0.7603559,8.663024,0,0,2.525729,6.379305
0,0,0,1,920430,0,0,-0.8931236,9.099409,0,0,2.525729,6.379305
0,0,0,0,920501,0,0,-1.107745,9.014325,0,0,2.525729,6.379305
1,0,0,0,920504,0,0,-0.7985078,8.610683,0,0,2.862201,8.192194
0,1,0,0,920505,0,1,-0.0870114,7.162397,0,0,2.908721,8.460658
0,0,1,0,920506,0,1,0.1849223,7.36201,0,0,2.862201,8.192194
0,0,0,1,920507,0,1,0.2231435,8.764053,0,0,2.813411,7.91528
0,0,0,0,920508,0,1,0.5611184,8.328451,0,0,2.862201,8.192194
